,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,20.3,17.2,87.56,140.0,8.0,30.26,10.0,9.7
2021-01-01 01:00:00,18.9,16.3,89.4,140.0,5.0,30.26,10.0,10.84
2021-01-01 02:00:00,14.5,13.5,95.71,120.0,4.0,30.24,10.0,6.98
2021-01-01 03:00:00,11.5,10.9,97.37,0.0,0.0,30.25,7.0,11.5
2021-01-01 04:00:00,10.6,9.7,96.06,140.0,4.0,30.23,5.0,2.43
2021-01-01 05:00:00,14.7,14.2,97.84,120.0,4.0,30.23,10.0,7.22
2021-01-01 06:00:00,15.8,15.6,99.13,160.0,5.0,30.23,10.0,7.16
2021-01-01 07:00:00,14.4,14.0,98.26,160.0,6.0,30.24,10.0,4.33
2021-01-01 08:00:00,15.4,15.3,99.57,170.0,8.0,30.26,10.0,3.66
2021-01-01 09:00:00,16.3,16.3,100.0,170.0,5.0,30.25,10.0,7.75
2021-01-01 10:00:00,15.1,14.9,99.13,130.0,4.0,30.23,10.0,7.69
2021-01-01 11:00:00,12.6,11.7,96.1,0.0,0.0,30.23,7.0,12.6
2021-01-01 12:00:00,11.1,10.0,95.22,100.0,4.0,30.2,7.0,3.01
2021-01-01 13:00:00,12.0,10.9,95.24,130.0,4.0,30.18,7.0,4.07
2021-01-01 14:00:00,9.7,8.4,94.33,0.0,0.0,30.19,5.0,9.7
2021-01-01 15:00:00,11.8,11.1,96.94,0.0,0.0,30.17,7.0,11.8
2021-01-01 16:00:00,14.7,14.7,100.0,0.0,0.0,30.14,7.0,14.7
2021-01-01 17:00:00,16.0,15.3,97.0,0.0,0.0,30.11,10.0,16.0
2021-01-01 18:00:00,18.9,15.6,86.72,0.0,0.0,30.09,10.0,18.9
2021-01-01 19:00:00,20.3,15.4,80.98,0.0,0.0,30.08,10.0,20.3
2021-01-01 20:00:00,20.3,15.6,81.69,0.0,0.0,30.08,10.0,20.3
2021-01-01 21:00:00,19.0,15.3,85.23,0.0,0.0,30.09,10.0,19.0
2021-01-01 22:00:00,14.5,12.0,89.58,0.0,0.0,30.09,10.0,14.5
2021-01-01 23:00:00,17.6,15.4,90.91,0.0,0.0,30.08,10.0,17.6
2021-01-02 00:00:00,19.4,17.1,90.59,0.0,0.0,30.09,10.0,19.4
2021-01-02 01:00:00,20.8,17.6,87.21,0.0,0.0,30.08,10.0,20.8
2021-01-02 02:00:00,21.0,17.6,86.47,0.0,0.0,30.08,10.0,21.0
2021-01-02 03:00:00,21.2,17.6,85.74,0.0,0.0,30.09,10.0,21.2
2021-01-02 04:00:00,21.0,17.6,86.47,290.0,3.0,30.09,7.0,16.11
2021-01-02 05:00:00,20.1,17.6,89.84,260.0,3.0,30.08,7.0,15.08
2021-01-02 06:00:00,19.4,17.4,91.77,0.0,0.0,30.06,7.0,19.4
2021-01-02 07:00:00,18.5,16.5,91.74,220.0,4.0,30.05,5.0,11.66
2021-01-02 08:00:00,14.7,14.7,100.0,220.0,3.0,30.06,3.0,8.91
2021-01-02 09:00:00,13.8,13.6,99.13,0.0,0.0,30.07,1.75,13.8
2021-01-02 10:00:00,12.7,12.0,96.95,0.0,0.0,30.07,0.25,12.7
2021-01-02 11:00:00,9.3,7.7,93.05,0.0,0.0,30.09,0.25,9.3
2021-01-02 12:00:00,6.0,3.7,90.41,0.0,0.0,30.1,0.5,5.9
2021-01-02 13:00:00,4.5,1.8,88.27,0.0,0.0,30.11,3.0,4.5
2021-01-02 14:00:00,11.5,10.2,94.38,150.0,5.0,30.11,4.0,2.05
2021-01-02 15:00:00,14.7,14.2,97.84,160.0,3.0,30.11,2.5,8.91
2021-01-02 16:00:00,16.0,15.6,98.28,0.0,0.0,30.08,2.0,16.0
2021-01-02 17:00:00,17.6,17.6,100.0,160.0,5.0,30.06,1.5,9.29
2021-01-02 18:00:00,20.3,20.3,100.0,160.0,3.0,30.03,3.0,15.31
2021-01-02 19:00:00,23.0,23.0,100.0,130.0,4.0,30.01,5.0,16.91
2021-01-02 20:00:00,22.8,21.0,92.68,140.0,6.0,30.02,5.0,14.45
2021-01-02 21:00:00,23.7,20.3,86.63,160.0,3.0,30.02,7.0,19.2
2021-01-02 22:00:00,21.2,19.0,91.05,160.0,5.0,30.0,7.0,13.57
2021-01-02 23:00:00,15.8,15.8,100.0,120.0,4.0,29.99,5.0,8.5
2021-01-03 00:00:00,15.1,15.1,100.0,130.0,6.0,29.97,4.0,5.18
2021-01-03 01:00:00,21.9,20.5,94.24,160.0,7.0,29.96,7.0,12.47
2021-01-03 02:00:00,23.2,21.7,93.88,170.0,10.0,29.95,5.0,11.93
2021-01-03 03:00:00,21.2,20.8,98.32,180.0,8.0,29.94,7.0,10.81
2021-01-03 04:00:00,20.7,20.5,99.15,150.0,7.0,29.93,7.0,11.01
2021-01-03 05:00:00,17.6,17.4,99.14,100.0,5.0,29.93,7.0,9.29
2021-01-03 06:00:00,17.4,17.4,100.0,100.0,6.0,29.92,5.0,7.95
2021-01-03 07:00:00,15.6,15.3,98.7,150.0,4.0,29.95,5.0,8.27
2021-01-03 08:00:00,19.2,19.2,100.0,160.0,8.0,29.92,0.75,8.35
2021-01-03 09:00:00,20.1,20.1,100.0,160.0,8.0,29.91,5.0,9.45
2021-01-03 10:00:00,19.8,19.8,100.0,160.0,4.0,29.91,7.0,13.17
2021-01-03 11:00:00,19.0,19.0,100.0,170.0,6.0,29.89,10.0,9.87
2021-01-03 12:00:00,19.0,19.0,100.0,170.0,4.0,29.89,10.0,12.24
2021-01-03 13:00:00,17.8,17.8,100.0,160.0,7.0,29.88,10.0,7.47
2021-01-03 14:00:00,18.5,18.5,100.0,170.0,3.0,29.91,10.0,13.26
2021-01-03 15:00:00,19.4,19.4,100.0,160.0,5.0,29.9,7.0,11.43
2021-01-03 16:00:00,23.7,22.3,94.29,160.0,8.0,29.89,10.0,13.89
2021-01-03 17:00:00,26.1,23.4,89.36,150.0,5.0,29.87,10.0,19.39
2021-01-03 18:00:00,28.8,24.6,84.07,150.0,5.0,29.86,10.0,22.59
2021-01-03 19:00:00,30.4,25.0,80.09,150.0,7.0,29.84,10.0,22.83
2021-01-03 20:00:00,32.0,25.5,76.64,150.0,7.0,29.84,10.0,24.78
2021-01-03 21:00:00,31.6,25.3,77.25,160.0,4.0,29.84,10.0,26.95
2021-01-03 22:00:00,25.7,22.3,86.74,120.0,6.0,29.85,10.0,17.94
2021-01-03 23:00:00,25.3,22.1,87.46,130.0,6.0,29.85,10.0,17.46
2021-01-04 00:00:00,25.3,22.6,89.32,140.0,5.0,29.85,10.0,18.44
2021-01-04 01:00:00,24.6,22.3,90.81,150.0,3.0,29.86,7.0,20.23
2021-01-04 02:00:00,20.5,20.5,100.0,140.0,4.0,29.87,7.0,13.99
2021-01-04 03:00:00,22.3,22.3,100.0,160.0,5.0,29.87,5.0,14.88
2021-01-04 04:00:00,24.3,24.3,100.0,160.0,8.0,29.86,5.0,14.63
2021-01-04 05:00:00,22.8,22.8,100.0,160.0,8.0,29.84,7.0,12.78
2021-01-04 06:00:00,21.0,21.0,100.0,160.0,7.0,29.83,7.0,11.37
2021-01-04 07:00:00,21.2,21.2,100.0,180.0,6.0,29.84,7.0,12.52
2021-01-04 08:00:00,21.2,21.2,100.0,180.0,7.0,29.84,7.0,11.61
2021-01-04 09:00:00,22.6,22.6,100.0,220.0,5.0,29.84,7.0,15.23
2021-01-04 10:00:00,23.4,23.4,100.0,170.0,7.0,29.83,4.0,14.3
2021-01-04 11:00:00,23.4,23.4,100.0,170.0,7.0,29.83,4.0,14.3
2021-01-04 12:00:00,23.4,23.4,100.0,170.0,7.0,29.83,4.0,14.3
2021-01-04 13:00:00,23.9,23.9,100.0,200.0,6.0,29.85,0.75,15.77
2021-01-04 14:00:00,25.0,25.0,100.0,190.0,5.0,29.85,0.5,18.08
2021-01-04 15:00:00,25.9,25.9,100.0,220.0,5.0,29.87,0.25,19.15
2021-01-04 16:00:00,26.8,26.8,100.0,210.0,4.0,29.86,0.75,21.35
2021-01-04 17:00:00,28.2,28.2,100.0,220.0,5.0,29.84,3.0,21.88
2021-01-04 18:00:00,30.4,29.1,94.84,260.0,7.0,29.84,7.0,22.83
2021-01-04 19:00:00,32.2,28.0,84.3,250.0,4.0,29.84,10.0,27.65
2021-01-04 20:00:00,33.8,27.9,78.73,260.0,4.0,29.86,10.0,29.52
2021-01-04 21:00:00,33.0,27.7,80.95,240.0,4.0,29.88,10.0,28.47
2021-01-04 22:00:00,29.7,26.1,86.25,230.0,4.0,29.9,10.0,24.73
2021-01-04 23:00:00,24.6,24.6,100.0,240.0,5.0,29.91,7.0,17.61
2021-01-05 00:00:00,24.3,24.3,100.0,0.0,0.0,29.92,3.0,24.3
2021-01-05 01:00:00,27.3,27.3,100.0,250.0,3.0,29.93,10.0,23.32
2021-01-05 02:00:00,18.0,17.8,99.14,0.0,0.0,29.93,10.0,18.0
2021-01-05 03:00:00,16.5,16.5,100.0,0.0,0.0,29.94,5.0,16.5
2021-01-05 04:00:00,14.9,14.9,100.0,0.0,0.0,29.96,1.75,14.9
2021-01-05 05:00:00,12.2,12.0,99.12,0.0,0.0,29.98,0.25,12.2
2021-01-05 06:00:00,10.4,9.3,95.2,0.0,0.0,29.99,0.25,10.4
2021-01-05 07:00:00,9.1,8.0,94.74,0.0,0.0,30.0,0.25,9.1
2021-01-05 08:00:00,8.2,6.6,93.02,0.0,0.0,30.01,0.25,8.2
2021-01-05 09:00:00,6.6,5.4,94.68,0.0,0.0,30.02,0.25,6.6
2021-01-05 10:00:00,7.2,5.5,92.56,0.0,0.0,30.04,0.25,7.2
2021-01-05 11:00:00,5.5,3.2,89.98,0.0,0.0,30.06,0.25,5.5
2021-01-05 12:00:00,5.2,2.7,89.13,0.0,0.0,30.07,0.25,5.2
2021-01-05 13:00:00,4.8,2.5,89.94,0.0,0.0,30.09,0.25,4.8
2021-01-05 14:00:00,8.6,7.2,93.88,0.0,0.0,30.11,0.25,8.6
2021-01-05 15:00:00,13.3,12.4,96.11,0.0,0.0,30.12,0.25,13.3
2021-01-05 16:00:00,19.0,19.0,100.0,0.0,0.0,30.12,0.25,19.0
2021-01-05 17:00:00,20.1,20.1,100.0,0.0,0.0,30.12,7.0,20.1
2021-01-05 18:00:00,23.7,23.7,100.0,0.0,0.0,30.1,10.0,23.7
2021-01-05 19:00:00,25.3,25.3,100.0,0.0,0.0,30.12,10.0,25.3
2021-01-05 20:00:00,26.6,26.6,100.0,0.0,0.0,30.12,10.0,26.6
2021-01-05 21:00:00,23.4,23.4,100.0,190.0,3.0,30.15,10.0,18.86
2021-01-05 22:00:00,20.3,20.3,100.0,0.0,0.0,30.17,10.0,20.3
2021-01-05 23:00:00,20.5,20.5,100.0,50.0,4.0,30.19,10.0,13.99
2021-01-06 00:00:00,15.1,14.7,98.27,0.0,0.0,30.21,0.25,15.1
2021-01-06 01:00:00,12.4,11.5,96.09,90.0,3.0,30.22,7.0,6.28
2021-01-06 02:00:00,10.8,9.0,92.27,0.0,0.0,30.22,10.0,10.8
2021-01-06 03:00:00,11.5,10.6,96.08,0.0,0.0,30.23,2.5,11.5
2021-01-06 04:00:00,14.2,14.2,100.0,0.0,0.0,30.24,10.0,14.2
2021-01-06 05:00:00,16.0,16.0,100.0,0.0,0.0,30.24,5.0,16.0
2021-01-06 06:00:00,14.0,13.6,98.26,0.0,0.0,30.25,2.5,14.0
2021-01-06 07:00:00,14.0,13.6,98.26,0.0,0.0,30.26,3.0,14.0
2021-01-06 08:00:00,14.0,14.0,100.0,0.0,0.0,30.26,1.75,14.0
2021-01-06 09:00:00,15.3,15.3,100.0,0.0,0.0,30.25,7.0,15.3
2021-01-06 10:00:00,17.6,17.6,100.0,90.0,4.0,30.28,10.0,10.6
2021-01-06 11:00:00,16.9,16.9,100.0,90.0,4.0,30.3,10.0,9.79
2021-01-06 12:00:00,17.1,17.1,100.0,110.0,5.0,30.32,10.0,8.7
2021-01-06 13:00:00,17.6,17.6,100.0,90.0,3.0,30.33,10.0,12.23
2021-01-06 14:00:00,16.7,16.7,100.0,130.0,3.0,30.34,10.0,11.2
2021-01-06 15:00:00,17.2,17.2,100.0,100.0,4.0,30.35,10.0,10.14
2021-01-06 16:00:00,21.0,21.0,100.0,110.0,4.0,30.34,10.0,14.57
2021-01-06 17:00:00,24.3,24.3,100.0,90.0,3.0,30.33,10.0,19.89
2021-01-06 18:00:00,27.0,27.0,100.0,0.0,0.0,30.33,10.0,27.0
2021-01-06 19:00:00,27.5,27.5,100.0,0.0,0.0,30.33,10.0,27.5
2021-01-06 20:00:00,29.3,27.1,91.37,50.0,5.0,30.34,10.0,23.19
2021-01-06 21:00:00,29.3,25.3,84.81,60.0,3.0,30.36,10.0,25.6
2021-01-06 22:00:00,27.9,24.6,87.23,80.0,4.0,30.36,10.0,22.63
2021-01-06 23:00:00,26.6,23.7,88.63,70.0,4.0,30.38,10.0,21.11
2021-01-07 00:00:00,24.3,22.1,91.18,110.0,5.0,30.39,10.0,17.25
2021-01-07 01:00:00,21.0,20.7,98.73,0.0,0.0,30.4,7.0,21.0
2021-01-07 02:00:00,19.2,19.2,100.0,0.0,0.0,30.4,3.0,19.2
2021-01-07 03:00:00,20.7,20.7,100.0,0.0,0.0,30.41,1.5,20.7
2021-01-07 04:00:00,12.9,12.4,97.82,0.0,0.0,30.42,0.25,12.9
2021-01-07 05:00:00,10.6,9.7,96.06,0.0,0.0,30.42,2.5,10.6
2021-01-07 06:00:00,9.9,8.6,94.34,0.0,0.0,30.43,1.0,9.9
2021-01-07 07:00:00,17.8,17.8,100.0,130.0,3.0,30.42,2.5,12.46
2021-01-07 08:00:00,18.1,18.1,100.0,120.0,4.0,30.43,2.5,11.19
2021-01-07 09:00:00,17.6,17.6,100.0,140.0,3.0,30.44,3.0,12.23
2021-01-07 10:00:00,17.1,17.1,100.0,90.0,5.0,30.44,3.0,8.7
2021-01-07 11:00:00,17.6,17.6,100.0,100.0,4.0,30.45,2.0,10.6
2021-01-07 12:00:00,17.8,17.8,100.0,110.0,3.0,30.47,2.0,12.46
2021-01-07 13:00:00,18.1,18.1,100.0,110.0,4.0,30.49,1.25,11.19
2021-01-07 14:00:00,18.9,18.9,100.0,120.0,4.0,30.5,1.5,12.12
2021-01-07 15:00:00,19.4,19.4,100.0,140.0,3.0,30.5,1.5,14.28
2021-01-07 16:00:00,19.9,19.9,100.0,0.0,0.0,30.5,2.0,19.9
2021-01-07 17:00:00,20.5,20.5,100.0,130.0,3.0,30.49,2.5,15.54
2021-01-07 18:00:00,20.5,20.5,100.0,120.0,3.0,30.48,3.0,15.54
2021-01-07 19:00:00,20.7,20.7,100.0,140.0,3.0,30.48,4.0,15.77
2021-01-07 20:00:00,20.7,20.7,100.0,0.0,0.0,30.47,4.0,20.7
2021-01-07 21:00:00,20.8,20.8,100.0,100.0,6.0,30.47,4.0,12.04
2021-01-07 22:00:00,20.8,20.8,100.0,0.0,0.0,30.48,4.0,20.8
2021-01-07 23:00:00,20.3,20.3,100.0,0.0,0.0,30.48,5.0,20.3
2021-01-08 00:00:00,20.1,20.1,100.0,40.0,5.0,30.49,4.0,12.26
2021-01-08 01:00:00,19.9,19.9,100.0,90.0,3.0,30.49,3.0,14.86
2021-01-08 02:00:00,19.4,19.4,100.0,70.0,3.0,30.49,2.5,14.28
2021-01-08 03:00:00,19.2,19.2,100.0,40.0,3.0,30.48,3.0,14.06
2021-01-08 04:00:00,18.5,18.5,100.0,0.0,0.0,30.48,2.0,18.5
2021-01-08 05:00:00,18.5,18.5,100.0,0.0,0.0,30.48,2.0,18.5
2021-01-08 06:00:00,18.5,18.5,100.0,150.0,3.0,30.48,2.5,13.26
2021-01-08 07:00:00,18.3,18.3,100.0,110.0,3.0,30.48,3.0,13.03
2021-01-08 08:00:00,18.5,18.5,100.0,0.0,0.0,30.49,5.0,18.5
2021-01-08 09:00:00,18.5,18.5,100.0,0.0,0.0,30.48,4.0,18.5
2021-01-08 10:00:00,18.5,18.5,100.0,0.0,0.0,30.47,3.0,18.5
2021-01-08 11:00:00,17.8,17.8,100.0,0.0,0.0,30.46,7.0,17.8
2021-01-08 12:00:00,17.6,17.6,100.0,0.0,0.0,30.47,5.0,17.6
2021-01-08 13:00:00,18.1,18.1,100.0,350.0,3.0,30.47,2.5,12.8
2021-01-08 14:00:00,18.5,18.5,100.0,300.0,3.0,30.48,1.75,13.26
2021-01-08 15:00:00,18.9,18.9,100.0,330.0,4.0,30.47,1.75,12.12
2021-01-08 16:00:00,18.9,18.9,100.0,0.0,0.0,30.47,3.0,18.9
2021-01-08 17:00:00,19.4,19.4,100.0,310.0,4.0,30.46,4.0,12.71
2021-01-08 18:00:00,19.9,19.9,100.0,310.0,3.0,30.43,5.0,14.86
2021-01-08 19:00:00,20.7,20.7,100.0,310.0,4.0,30.41,5.0,14.22
2021-01-08 20:00:00,20.3,20.3,100.0,310.0,5.0,30.41,5.0,12.5
2021-01-08 21:00:00,20.3,20.3,100.0,300.0,4.0,30.4,7.0,13.76
2021-01-08 22:00:00,19.8,19.8,100.0,310.0,5.0,30.4,5.0,11.91
2021-01-08 23:00:00,18.9,18.9,100.0,310.0,4.0,30.41,3.0,12.12
2021-01-09 00:00:00,18.1,18.1,100.0,340.0,5.0,30.41,2.0,9.89
2021-01-09 01:00:00,16.7,16.7,100.0,350.0,3.0,30.41,2.5,11.2
2021-01-09 02:00:00,15.6,15.6,100.0,360.0,4.0,30.41,4.0,8.27
2021-01-09 03:00:00,13.8,13.6,99.13,330.0,5.0,30.41,4.0,4.78
2021-01-09 04:00:00,13.3,13.1,99.12,0.0,0.0,30.4,4.0,13.3
2021-01-09 05:00:00,13.8,13.8,100.0,0.0,0.0,30.39,4.0,13.8
2021-01-09 06:00:00,14.0,14.0,100.0,0.0,0.0,30.4,1.75,14.0
2021-01-09 07:00:00,14.4,14.4,100.0,0.0,0.0,30.4,0.5,14.4
2021-01-09 08:00:00,14.4,14.4,100.0,0.0,0.0,30.41,0.75,14.4
2021-01-09 09:00:00,14.4,14.4,100.0,0.0,0.0,30.41,0.75,14.4
2021-01-09 10:00:00,14.4,14.4,100.0,0.0,0.0,30.41,0.75,14.4
2021-01-09 11:00:00,14.4,14.4,100.0,0.0,0.0,30.41,0.75,14.4
2021-01-09 12:00:00,13.8,13.8,100.0,0.0,0.0,30.42,5.0,13.8
2021-01-09 13:00:00,13.6,13.6,100.0,0.0,0.0,30.43,1.75,13.6
2021-01-09 14:00:00,13.8,13.8,100.0,0.0,0.0,30.44,3.0,13.8
2021-01-09 15:00:00,13.5,13.1,98.26,0.0,0.0,30.45,4.0,13.5
2021-01-09 16:00:00,14.2,14.2,100.0,0.0,0.0,30.45,5.0,14.2
2021-01-09 17:00:00,15.4,15.4,100.0,0.0,0.0,30.43,2.0,15.4
2021-01-09 18:00:00,17.2,17.2,100.0,0.0,0.0,30.41,1.25,17.2
2021-01-09 19:00:00,18.9,18.9,100.0,220.0,3.0,30.39,2.5,13.71
2021-01-09 20:00:00,19.9,19.9,100.0,230.0,5.0,30.39,4.0,12.03
2021-01-09 21:00:00,20.1,20.1,100.0,240.0,5.0,30.4,4.0,12.26
2021-01-09 22:00:00,19.2,19.2,100.0,270.0,4.0,30.4,2.0,12.47
2021-01-09 23:00:00,18.3,18.3,100.0,250.0,4.0,30.41,2.0,11.42
2021-01-10 00:00:00,18.1,18.1,100.0,240.0,5.0,30.4,2.5,9.89
2021-01-10 01:00:00,18.1,18.1,100.0,240.0,3.0,30.41,4.0,12.8
2021-01-10 02:00:00,18.1,18.1,100.0,0.0,0.0,30.4,3.0,18.1
2021-01-10 03:00:00,18.1,18.1,100.0,0.0,0.0,30.39,3.0,18.1
2021-01-10 04:00:00,18.1,18.1,100.0,220.0,3.0,30.37,4.0,12.8
2021-01-10 05:00:00,18.5,18.5,100.0,0.0,0.0,30.38,4.0,18.5
2021-01-10 06:00:00,19.0,19.0,100.0,0.0,0.0,30.37,4.0,19.0
2021-01-10 07:00:00,19.4,19.4,100.0,0.0,0.0,30.37,4.0,19.4
2021-01-10 08:00:00,19.9,19.9,100.0,0.0,0.0,30.37,4.0,19.9
2021-01-10 09:00:00,20.1,20.1,100.0,0.0,0.0,30.37,4.0,20.1
2021-01-10 10:00:00,20.3,20.3,100.0,0.0,0.0,30.36,4.0,20.3
2021-01-10 11:00:00,21.0,21.0,100.0,0.0,0.0,30.36,4.0,21.0
2021-01-10 12:00:00,22.5,22.5,100.0,310.0,3.0,30.37,5.0,17.83
2021-01-10 13:00:00,22.8,22.8,100.0,320.0,4.0,30.37,7.0,16.68
2021-01-10 14:00:00,23.0,23.0,100.0,280.0,3.0,30.39,5.0,18.4
2021-01-10 15:00:00,23.0,23.0,100.0,270.0,5.0,30.38,7.0,15.71
2021-01-10 16:00:00,23.2,23.2,100.0,300.0,4.0,30.38,7.0,17.14
2021-01-10 17:00:00,23.4,23.4,100.0,0.0,0.0,30.35,7.0,23.4
2021-01-10 18:00:00,23.9,23.9,100.0,250.0,6.0,30.33,7.0,15.77
2021-01-10 19:00:00,24.1,24.1,100.0,260.0,4.0,30.33,7.0,18.19
2021-01-10 20:00:00,24.6,24.6,100.0,260.0,6.0,30.32,7.0,16.62
2021-01-10 21:00:00,24.8,24.8,100.0,250.0,6.0,30.32,5.0,16.86
2021-01-10 22:00:00,24.8,24.8,100.0,220.0,5.0,30.31,7.0,17.84
2021-01-10 23:00:00,24.6,24.6,100.0,140.0,5.0,30.29,7.0,17.61
2021-01-11 00:00:00,21.0,21.0,100.0,160.0,4.0,30.29,7.0,14.57
2021-01-11 01:00:00,19.2,19.2,100.0,170.0,5.0,30.27,5.0,11.19
2021-01-11 02:00:00,21.0,21.0,100.0,160.0,6.0,30.25,7.0,12.28
2021-01-11 03:00:00,19.8,19.8,100.0,170.0,4.0,30.24,5.0,13.17
2021-01-11 04:00:00,24.8,24.8,100.0,220.0,5.0,30.24,7.0,17.84
2021-01-11 05:00:00,24.8,24.8,100.0,180.0,5.0,30.21,7.0,17.84
2021-01-11 06:00:00,25.7,25.7,100.0,210.0,7.0,30.19,10.0,17.1
2021-01-11 07:00:00,26.4,26.4,100.0,220.0,5.0,30.19,10.0,19.74
2021-01-11 08:00:00,27.5,27.5,100.0,210.0,9.0,30.15,10.0,17.92
2021-01-11 09:00:00,28.4,28.4,100.0,220.0,7.0,30.14,10.0,20.39
2021-01-11 10:00:00,28.4,27.3,95.58,190.0,4.0,30.11,10.0,23.22
2021-01-11 11:00:00,28.4,27.3,95.58,200.0,6.0,30.09,10.0,21.19
2021-01-11 12:00:00,25.9,25.3,97.54,170.0,5.0,30.07,10.0,19.15
2021-01-11 13:00:00,25.0,25.0,100.0,150.0,4.0,30.06,10.0,19.25
2021-01-11 14:00:00,24.4,24.4,100.0,150.0,6.0,30.04,10.0,16.38
2021-01-11 15:00:00,26.4,25.0,94.36,150.0,6.0,30.03,10.0,18.79
2021-01-11 16:00:00,29.3,25.5,85.52,150.0,4.0,30.01,10.0,24.27
2021-01-11 17:00:00,32.5,27.1,80.26,230.0,4.0,29.98,10.0,28.0
2021-01-11 18:00:00,33.3,27.3,78.37,220.0,8.0,29.96,10.0,25.71
2021-01-11 19:00:00,33.8,27.1,76.18,220.0,7.0,29.95,10.0,26.97
2021-01-11 20:00:00,34.3,27.1,74.68,210.0,4.0,29.96,10.0,30.11
2021-01-11 21:00:00,34.2,27.0,74.67,240.0,3.0,29.96,10.0,31.2
2021-01-11 22:00:00,29.3,24.6,82.37,0.0,0.0,29.97,10.0,29.3
2021-01-11 23:00:00,26.6,23.5,87.89,0.0,0.0,29.98,10.0,26.6
2021-01-12 00:00:00,22.8,22.8,100.0,170.0,4.0,29.96,10.0,16.68
2021-01-12 01:00:00,18.9,18.9,100.0,0.0,0.0,29.99,5.0,18.9
2021-01-12 02:00:00,17.6,17.6,100.0,0.0,0.0,29.99,4.0,17.6
2021-01-12 03:00:00,16.3,16.3,100.0,0.0,0.0,29.99,3.0,16.3
2021-01-12 04:00:00,15.4,15.4,100.0,0.0,0.0,30.0,5.0,15.4
2021-01-12 05:00:00,14.0,13.8,99.13,0.0,0.0,30.01,0.25,14.0
2021-01-12 06:00:00,13.6,13.5,99.56,0.0,0.0,30.0,4.0,13.6
2021-01-12 07:00:00,13.6,13.5,99.56,0.0,0.0,30.0,5.0,13.6
2021-01-12 08:00:00,12.4,12.0,98.25,0.0,0.0,30.01,0.25,12.4
2021-01-12 09:00:00,11.7,10.9,96.51,0.0,0.0,30.01,0.5,11.7
2021-01-12 10:00:00,11.8,11.5,98.68,0.0,0.0,30.01,7.0,11.8
2021-01-12 11:00:00,13.6,13.3,98.69,0.0,0.0,30.02,7.0,13.6
2021-01-12 12:00:00,16.7,16.7,100.0,0.0,0.0,30.02,7.0,16.7
2021-01-12 13:00:00,17.8,17.8,100.0,0.0,0.0,30.01,5.0,17.8
2021-01-12 14:00:00,19.2,19.2,100.0,0.0,0.0,30.02,4.0,19.2
2021-01-12 15:00:00,21.2,21.2,100.0,240.0,3.0,30.03,0.25,16.34
2021-01-12 16:00:00,23.2,23.2,100.0,0.0,0.0,30.01,1.5,23.2
2021-01-12 17:00:00,25.2,25.2,100.0,220.0,4.0,29.99,3.0,19.48
2021-01-12 18:00:00,26.8,26.8,100.0,0.0,0.0,29.96,4.0,26.8
2021-01-12 19:00:00,27.9,27.9,100.0,140.0,5.0,29.94,4.0,21.53
2021-01-12 20:00:00,27.5,27.5,100.0,140.0,3.0,29.93,5.0,23.54
2021-01-12 21:00:00,26.4,26.4,100.0,130.0,5.0,29.91,5.0,19.74
2021-01-12 22:00:00,25.7,25.7,100.0,110.0,4.0,29.9,5.0,20.06
2021-01-12 23:00:00,23.9,23.9,100.0,110.0,5.0,29.89,7.0,16.78
2021-01-13 00:00:00,21.7,21.7,100.0,0.0,0.0,29.88,5.0,21.7
2021-01-13 01:00:00,19.4,19.4,100.0,110.0,3.0,29.86,0.75,14.28
2021-01-13 02:00:00,21.9,21.9,100.0,0.0,0.0,29.86,7.0,21.9
2021-01-13 03:00:00,17.8,17.8,100.0,0.0,0.0,29.85,7.0,17.8
2021-01-13 04:00:00,17.8,17.8,100.0,0.0,0.0,29.84,4.0,17.8
2021-01-13 05:00:00,17.2,16.9,98.71,0.0,0.0,29.84,3.0,17.2
2021-01-13 06:00:00,16.7,16.5,99.14,0.0,0.0,29.83,5.0,16.7
2021-01-13 07:00:00,17.1,17.1,100.0,0.0,0.0,29.81,7.0,17.1
2021-01-13 08:00:00,13.8,13.5,98.69,0.0,0.0,29.81,2.5,13.8
2021-01-13 09:00:00,13.3,13.1,99.12,0.0,0.0,29.8,7.0,13.3
2021-01-13 10:00:00,16.5,16.5,100.0,0.0,0.0,29.79,10.0,16.5
2021-01-13 11:00:00,17.2,17.2,100.0,0.0,0.0,29.79,10.0,17.2
2021-01-13 12:00:00,17.1,17.1,100.0,0.0,0.0,29.79,10.0,17.1
2021-01-13 13:00:00,14.9,14.7,99.13,0.0,0.0,29.78,5.0,14.9
2021-01-13 14:00:00,14.9,14.9,100.0,0.0,0.0,29.76,10.0,14.9
2021-01-13 15:00:00,21.0,21.0,100.0,0.0,0.0,29.77,7.0,21.0
2021-01-13 16:00:00,27.0,27.0,100.0,100.0,5.0,29.75,7.0,20.46
2021-01-13 17:00:00,29.7,29.7,100.0,0.0,0.0,29.71,10.0,29.7
2021-01-13 18:00:00,32.2,32.0,99.2,0.0,0.0,29.68,10.0,32.2
2021-01-13 19:00:00,35.6,31.5,84.86,0.0,0.0,29.66,10.0,35.6
2021-01-13 20:00:00,37.0,32.0,81.93,110.0,4.0,29.64,10.0,33.26
2021-01-13 21:00:00,35.8,32.0,85.91,130.0,3.0,29.63,10.0,33.03
