,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,19.9,14.0,77.48,180.0,7.0,30.27,10.0,10.03
2021-01-01 01:00:00,19.0,14.0,80.52,150.0,4.0,30.25,10.0,12.24
2021-01-01 02:00:00,16.0,12.9,87.32,60.0,4.0,30.23,10.0,8.74
2021-01-01 03:00:00,15.1,10.9,83.11,90.0,4.0,30.22,8.0,7.69
2021-01-01 04:00:00,15.1,10.9,83.11,140.0,4.0,30.24,9.0,7.69
2021-01-01 05:00:00,17.1,12.9,83.25,150.0,10.0,30.23,9.0,4.28
2021-01-01 06:00:00,17.1,14.0,87.38,170.0,9.0,30.25,7.0,4.99
2021-01-01 07:00:00,18.0,15.1,88.2,170.0,6.0,30.24,8.0,8.67
2021-01-01 08:00:00,18.0,15.1,88.2,180.0,7.0,30.25,7.0,7.71
2021-01-01 09:00:00,18.0,15.1,88.2,190.0,7.0,30.24,7.0,7.71
2021-01-01 10:00:00,17.1,14.0,87.38,140.0,3.0,30.23,7.0,11.66
2021-01-01 11:00:00,17.1,14.0,87.38,110.0,3.0,30.21,6.0,11.66
2021-01-01 12:00:00,17.1,14.0,87.38,120.0,3.0,30.21,3.0,11.66
2021-01-01 13:00:00,17.1,14.0,87.38,80.0,4.0,30.18,5.0,10.02
2021-01-01 14:00:00,17.1,14.0,87.38,110.0,3.0,30.17,4.0,11.66
2021-01-01 15:00:00,16.0,12.9,87.32,110.0,4.0,30.15,3.0,8.74
2021-01-01 16:00:00,17.1,12.9,83.25,90.0,3.0,30.11,6.0,11.66
2021-01-01 17:00:00,18.0,12.9,80.09,110.0,4.0,30.08,7.0,11.07
2021-01-01 18:00:00,19.0,14.0,80.52,0.0,0.0,30.05,8.0,19.0
2021-01-01 19:00:00,19.9,14.0,77.48,360.0,3.0,30.04,8.0,14.86
2021-01-01 20:00:00,19.0,12.9,76.72,340.0,4.0,30.03,7.0,12.24
2021-01-01 21:00:00,18.0,12.0,76.97,330.0,4.0,30.06,8.0,11.07
2021-01-01 22:00:00,16.0,12.0,83.91,310.0,3.0,30.05,8.0,10.4
2021-01-01 23:00:00,16.0,10.9,79.92,0.0,0.0,30.03,7.0,16.0
2021-01-02 00:00:00,12.9,9.0,84.07,0.0,0.0,30.02,5.0,12.9
2021-01-02 01:00:00,10.0,5.0,79.76,0.0,0.0,30.03,8.0,10.0
2021-01-02 02:00:00,14.0,10.9,87.2,0.0,0.0,30.03,6.0,14.0
2021-01-02 03:00:00,16.0,12.9,87.32,250.0,3.0,30.04,6.0,10.4
2021-01-02 04:00:00,17.1,12.9,83.25,230.0,3.0,30.04,6.0,11.66
2021-01-02 05:00:00,18.0,14.0,84.05,220.0,3.0,30.03,6.0,12.68
2021-01-02 06:00:00,19.0,15.1,84.49,240.0,3.0,30.02,6.0,13.83
2021-01-02 07:00:00,19.9,16.0,84.55,220.0,3.0,30.02,6.0,14.86
2021-01-02 08:00:00,19.9,16.0,84.55,230.0,3.0,30.02,6.0,14.86
2021-01-02 09:00:00,19.9,16.0,84.55,220.0,4.0,30.03,6.0,13.29
2021-01-02 10:00:00,19.9,17.1,88.68,0.0,0.0,30.05,4.0,19.9
2021-01-02 11:00:00,21.0,18.0,87.97,230.0,5.0,30.06,5.0,13.33
2021-01-02 12:00:00,21.0,19.0,91.83,210.0,4.0,30.07,1.75,14.57
2021-01-02 13:00:00,21.0,19.0,91.83,240.0,5.0,30.09,0.75,13.33
2021-01-02 14:00:00,21.0,19.0,91.83,220.0,4.0,30.1,1.5,14.57
2021-01-02 15:00:00,21.0,18.0,87.97,200.0,3.0,30.08,2.0,16.11
2021-01-02 16:00:00,23.0,19.0,84.39,0.0,0.0,30.06,3.0,23.0
2021-01-02 17:00:00,26.1,19.0,74.16,190.0,4.0,30.04,5.0,20.53
2021-01-02 18:00:00,28.0,19.0,68.57,0.0,0.0,30.01,5.0,28.0
2021-01-02 19:00:00,30.9,21.0,66.34,170.0,6.0,30.01,5.0,24.21
2021-01-02 20:00:00,32.0,21.0,63.45,150.0,4.0,30.0,5.0,27.42
2021-01-02 21:00:00,30.0,21.0,68.81,140.0,7.0,30.01,4.0,22.34
2021-01-02 22:00:00,25.0,19.0,77.62,150.0,6.0,29.99,4.0,17.1
2021-01-02 23:00:00,24.1,19.0,80.59,170.0,6.0,29.98,5.0,16.02
2021-01-03 00:00:00,23.0,19.0,84.39,170.0,8.0,29.98,4.0,13.03
2021-01-03 01:00:00,25.0,23.0,91.97,180.0,7.0,29.98,2.0,16.25
2021-01-03 02:00:00,25.0,23.0,91.97,180.0,7.0,29.97,1.25,16.25
2021-01-03 03:00:00,25.0,23.0,91.97,190.0,5.0,29.95,0.5,18.08
2021-01-03 04:00:00,25.0,23.0,91.97,150.0,7.0,29.94,0.5,16.25
2021-01-03 05:00:00,25.0,23.0,91.97,150.0,7.0,29.93,0.5,16.25
2021-01-03 06:00:00,24.1,21.9,91.17,160.0,8.0,29.93,0.5,14.38
2021-01-03 07:00:00,24.1,21.9,91.17,160.0,6.0,29.93,0.75,16.02
2021-01-03 08:00:00,25.0,21.9,87.81,160.0,5.0,29.93,0.5,18.08
2021-01-03 09:00:00,24.1,21.9,91.17,180.0,6.0,29.9,0.5,16.02
2021-01-03 10:00:00,25.0,23.0,91.97,180.0,6.0,29.89,0.75,17.1
2021-01-03 11:00:00,25.0,23.0,91.97,200.0,6.0,29.9,0.5,17.1
2021-01-03 12:00:00,25.0,23.0,91.97,230.0,6.0,29.9,1.0,17.1
2021-01-03 13:00:00,24.1,21.9,91.17,190.0,6.0,29.9,2.0,16.02
2021-01-03 14:00:00,24.1,21.0,87.76,200.0,9.0,29.9,4.0,13.69
2021-01-03 15:00:00,25.0,21.9,87.81,180.0,7.0,29.9,4.0,16.25
2021-01-03 16:00:00,25.0,23.0,91.97,180.0,7.0,29.9,3.0,16.25
2021-01-03 17:00:00,26.1,24.1,92.01,190.0,6.0,29.88,4.0,18.42
2021-01-03 18:00:00,27.0,25.0,92.05,180.0,5.0,29.87,5.0,20.46
2021-01-03 19:00:00,27.0,24.1,88.65,170.0,9.0,29.86,6.0,17.3
2021-01-03 20:00:00,27.0,24.1,88.65,170.0,9.0,29.86,7.0,17.3
2021-01-03 21:00:00,27.0,24.1,88.65,170.0,10.0,29.86,7.0,16.7
2021-01-03 22:00:00,27.0,24.1,88.65,180.0,11.0,29.87,6.0,16.15
2021-01-03 23:00:00,27.0,24.1,88.65,180.0,8.0,29.87,6.0,17.95
2021-01-04 00:00:00,27.0,24.1,88.65,170.0,5.0,29.88,4.0,20.46
2021-01-04 01:00:00,28.0,25.0,88.33,170.0,7.0,29.87,4.0,19.9
2021-01-04 02:00:00,28.0,26.1,92.46,170.0,7.0,29.87,3.0,19.9
2021-01-04 03:00:00,28.0,25.0,88.33,180.0,8.0,29.87,4.0,19.19
2021-01-04 04:00:00,25.0,21.9,87.81,190.0,5.0,29.87,4.0,18.08
2021-01-04 05:00:00,23.0,19.9,87.7,180.0,6.0,29.87,5.0,14.69
2021-01-04 06:00:00,21.0,18.0,87.97,170.0,7.0,29.86,5.0,11.37
2021-01-04 07:00:00,21.9,18.0,84.68,190.0,6.0,29.86,6.0,13.37
2021-01-04 08:00:00,21.9,18.0,84.68,180.0,10.0,29.86,5.0,10.3
2021-01-04 09:00:00,23.0,19.9,87.7,200.0,6.0,29.85,4.0,14.69
2021-01-04 10:00:00,23.0,21.0,91.9,190.0,6.0,29.85,2.5,14.69
2021-01-04 11:00:00,23.0,21.0,91.9,180.0,7.0,29.84,1.75,13.81
2021-01-04 12:00:00,24.1,21.0,87.76,210.0,11.0,29.84,1.5,12.48
2021-01-04 13:00:00,23.0,21.0,91.9,180.0,8.0,29.83,1.5,13.03
2021-01-04 14:00:00,24.1,21.9,91.17,190.0,8.0,29.85,0.75,14.38
2021-01-04 15:00:00,24.1,21.9,91.17,210.0,10.0,29.85,1.25,13.06
2021-01-04 16:00:00,25.0,23.0,91.97,200.0,7.0,29.84,1.0,16.25
2021-01-04 17:00:00,26.1,24.1,92.01,200.0,7.0,29.83,0.75,17.59
2021-01-04 18:00:00,27.0,25.0,92.05,190.0,5.0,29.8,0.75,20.46
2021-01-04 19:00:00,28.0,26.1,92.46,220.0,4.0,29.81,4.0,22.75
2021-01-04 20:00:00,30.0,28.0,92.15,210.0,3.0,29.82,4.0,26.4
2021-01-04 21:00:00,32.0,28.0,84.98,260.0,7.0,29.85,4.0,24.78
2021-01-04 22:00:00,32.0,28.0,84.98,270.0,4.0,29.87,4.0,27.42
2021-01-04 23:00:00,27.0,25.0,92.05,210.0,3.0,29.88,3.0,22.97
2021-01-05 00:00:00,23.0,19.9,87.7,210.0,3.0,29.88,0.25,18.4
2021-01-05 01:00:00,23.0,19.9,87.7,220.0,3.0,29.89,0.25,18.4
2021-01-05 02:00:00,25.0,19.9,80.66,0.0,0.0,29.88,0.75,25.0
2021-01-05 03:00:00,23.0,21.0,91.9,230.0,3.0,29.89,2.0,18.4
2021-01-05 04:00:00,24.1,21.0,87.76,230.0,6.0,29.91,3.0,16.02
2021-01-05 05:00:00,19.9,18.0,92.19,220.0,5.0,29.93,4.0,12.03
2021-01-05 06:00:00,19.0,16.0,87.87,220.0,5.0,29.95,3.0,10.96
2021-01-05 07:00:00,18.0,16.0,91.72,240.0,5.0,29.96,2.0,9.77
2021-01-05 08:00:00,19.9,18.0,92.19,230.0,3.0,29.97,3.0,14.86
2021-01-05 09:00:00,18.0,15.1,88.2,220.0,3.0,29.98,2.0,12.68
2021-01-05 10:00:00,17.1,14.0,87.38,0.0,0.0,29.99,0.75,17.1
2021-01-05 11:00:00,17.1,14.0,87.38,0.0,0.0,29.99,0.75,17.1
2021-01-05 12:00:00,14.0,10.9,87.2,210.0,3.0,30.03,0.25,8.11
2021-01-05 13:00:00,15.1,12.0,87.27,250.0,3.0,30.05,0.25,9.37
2021-01-05 14:00:00,18.0,15.1,88.2,0.0,0.0,30.07,0.25,18.0
2021-01-05 15:00:00,19.9,18.0,92.19,0.0,0.0,30.08,0.25,19.9
2021-01-05 16:00:00,21.9,21.0,96.26,0.0,0.0,30.08,0.25,21.9
2021-01-05 17:00:00,25.0,24.1,96.31,0.0,0.0,30.08,1.5,25.0
2021-01-05 18:00:00,26.1,25.0,95.53,0.0,0.0,30.08,2.5,26.1
2021-01-05 19:00:00,26.1,23.0,87.87,80.0,4.0,30.09,0.5,20.53
2021-01-05 20:00:00,26.1,24.1,92.01,110.0,3.0,30.11,0.5,21.94
2021-01-05 21:00:00,24.1,21.0,87.76,50.0,3.0,30.12,0.25,19.66
2021-01-05 22:00:00,24.1,21.9,91.17,0.0,0.0,30.14,0.25,24.1
2021-01-05 23:00:00,24.1,21.0,87.76,0.0,0.0,30.17,0.25,24.1
2021-01-06 00:00:00,21.9,19.9,91.86,60.0,8.0,30.19,0.25,11.67
2021-01-06 01:00:00,21.9,19.0,88.4,0.0,0.0,30.21,0.25,21.9
2021-01-06 02:00:00,21.0,18.0,87.97,60.0,8.0,30.2,0.25,10.56
2021-01-06 03:00:00,19.9,17.1,88.68,0.0,0.0,30.22,0.25,19.9
2021-01-06 04:00:00,19.0,16.0,87.87,60.0,4.0,30.22,0.5,12.24
2021-01-06 05:00:00,19.0,16.0,87.87,70.0,4.0,30.23,0.75,12.24
2021-01-06 06:00:00,19.0,16.0,87.87,80.0,6.0,30.24,1.0,9.87
2021-01-06 07:00:00,19.0,16.0,87.87,70.0,4.0,30.25,1.25,12.24
2021-01-06 08:00:00,19.9,17.1,88.68,50.0,3.0,30.26,1.25,14.86
2021-01-06 09:00:00,19.0,16.0,87.87,60.0,5.0,30.26,0.5,10.96
2021-01-06 10:00:00,19.0,16.0,87.87,70.0,5.0,30.27,1.0,10.96
2021-01-06 11:00:00,18.0,15.1,88.2,70.0,6.0,30.28,2.5,8.67
2021-01-06 12:00:00,19.0,16.0,87.87,60.0,4.0,30.31,4.0,12.24
2021-01-06 13:00:00,19.0,16.0,87.87,60.0,5.0,30.32,1.75,10.96
2021-01-06 14:00:00,19.9,18.0,92.19,60.0,5.0,30.33,2.5,12.03
2021-01-06 15:00:00,21.0,18.0,87.97,90.0,5.0,30.33,4.0,13.33
2021-01-06 16:00:00,21.9,19.9,91.86,70.0,4.0,30.33,4.0,15.63
2021-01-06 17:00:00,21.9,19.9,91.86,60.0,5.0,30.33,3.0,14.4
2021-01-06 18:00:00,24.1,21.0,87.76,50.0,3.0,30.32,3.0,19.66
2021-01-06 19:00:00,25.0,21.9,87.81,80.0,4.0,30.32,2.5,19.25
2021-01-06 20:00:00,26.1,21.9,83.89,60.0,5.0,30.33,3.0,19.39
2021-01-06 21:00:00,26.1,23.0,87.87,80.0,4.0,30.34,3.0,20.53
2021-01-06 22:00:00,25.0,21.9,87.81,70.0,6.0,30.35,3.0,17.1
2021-01-06 23:00:00,24.1,21.9,91.17,50.0,3.0,30.36,3.0,19.66
2021-01-07 00:00:00,23.0,19.9,87.7,50.0,3.0,30.37,3.0,18.4
2021-01-07 01:00:00,21.0,18.0,87.97,130.0,5.0,30.38,1.75,13.33
2021-01-07 02:00:00,21.9,19.9,91.86,90.0,5.0,30.38,1.25,14.4
2021-01-07 03:00:00,23.0,19.9,87.7,110.0,5.0,30.39,1.25,15.71
2021-01-07 04:00:00,23.0,19.9,87.7,80.0,5.0,30.4,2.0,15.71
2021-01-07 05:00:00,21.9,19.9,91.86,80.0,3.0,30.41,2.5,17.14
2021-01-07 06:00:00,21.0,19.0,91.83,80.0,7.0,30.41,2.5,11.37
2021-01-07 07:00:00,21.9,19.0,88.4,100.0,5.0,30.41,2.0,14.4
2021-01-07 08:00:00,21.9,19.0,88.4,100.0,5.0,30.41,2.5,14.4
2021-01-07 09:00:00,21.0,19.0,91.83,100.0,4.0,30.41,3.0,14.57
2021-01-07 10:00:00,21.0,18.0,87.97,120.0,6.0,30.42,4.0,12.28
2021-01-07 11:00:00,21.0,18.0,87.97,100.0,6.0,30.43,4.0,12.28
2021-01-07 12:00:00,21.0,18.0,87.97,150.0,7.0,30.45,5.0,11.37
2021-01-07 13:00:00,21.0,18.0,87.97,110.0,7.0,30.46,3.0,11.37
2021-01-07 14:00:00,21.9,19.0,88.4,100.0,3.0,30.47,2.5,17.14
2021-01-07 15:00:00,21.9,19.9,91.86,0.0,0.0,30.47,4.0,21.9
2021-01-07 16:00:00,23.0,21.0,91.9,130.0,5.0,30.47,4.0,15.71
2021-01-07 17:00:00,24.1,21.0,87.76,0.0,0.0,30.45,5.0,24.1
2021-01-07 18:00:00,24.1,21.0,87.76,0.0,3.0,30.43,7.0,19.66
2021-01-07 19:00:00,24.1,21.0,87.76,70.0,3.0,30.42,8.0,19.66
2021-01-07 20:00:00,25.0,21.0,84.53,120.0,5.0,30.43,9.0,18.08
2021-01-07 21:00:00,25.0,21.0,84.53,0.0,0.0,30.43,10.0,25.0
2021-01-07 22:00:00,25.0,21.0,84.53,0.0,0.0,30.43,10.0,25.0
2021-01-07 23:00:00,25.0,21.0,84.53,0.0,0.0,30.43,10.0,25.0
2021-01-08 00:00:00,24.1,21.0,87.76,0.0,0.0,30.43,10.0,24.1
2021-01-08 01:00:00,24.1,21.0,87.76,0.0,0.0,30.43,9.0,24.1
2021-01-08 02:00:00,24.1,21.0,87.76,30.0,3.0,30.43,9.0,19.66
2021-01-08 03:00:00,24.1,21.0,87.76,30.0,4.0,30.43,9.0,18.19
2021-01-08 04:00:00,24.1,21.0,87.76,0.0,0.0,30.43,10.0,24.1
2021-01-08 05:00:00,24.1,19.9,83.75,10.0,3.0,30.42,9.0,19.66
2021-01-08 06:00:00,23.0,19.9,87.7,0.0,0.0,30.42,9.0,23.0
2021-01-08 07:00:00,23.0,19.9,87.7,0.0,3.0,30.42,9.0,18.4
2021-01-08 08:00:00,21.9,19.0,88.4,340.0,3.0,30.43,8.0,17.14
2021-01-08 09:00:00,21.9,19.0,88.4,350.0,5.0,30.42,8.0,14.4
2021-01-08 10:00:00,21.9,19.0,88.4,360.0,4.0,30.41,7.0,15.63
2021-01-08 11:00:00,21.9,19.0,88.4,0.0,0.0,30.4,8.0,21.9
2021-01-08 12:00:00,21.9,19.0,88.4,330.0,3.0,30.4,8.0,17.14
2021-01-08 13:00:00,21.9,19.0,88.4,330.0,3.0,30.4,6.0,17.14
2021-01-08 14:00:00,23.0,19.0,84.39,340.0,3.0,30.41,6.0,18.4
2021-01-08 15:00:00,24.1,19.0,80.59,340.0,4.0,30.4,6.0,18.19
2021-01-08 16:00:00,25.0,19.9,80.66,350.0,5.0,30.4,7.0,18.08
2021-01-08 17:00:00,26.1,19.9,77.06,310.0,6.0,30.38,10.0,18.42
2021-01-08 18:00:00,26.1,19.9,77.06,300.0,5.0,30.35,10.0,19.39
2021-01-08 19:00:00,27.0,21.0,77.8,320.0,4.0,30.34,10.0,21.58
2021-01-08 20:00:00,28.0,21.0,74.67,350.0,4.0,30.34,10.0,22.75
2021-01-08 21:00:00,27.0,21.0,77.8,330.0,5.0,30.34,10.0,20.46
2021-01-08 22:00:00,27.0,19.9,74.25,330.0,4.0,30.33,10.0,21.58
2021-01-08 23:00:00,27.0,19.9,74.25,350.0,5.0,30.33,10.0,20.46
2021-01-09 00:00:00,26.1,19.9,77.06,350.0,4.0,30.34,10.0,20.53
2021-01-09 01:00:00,26.1,19.0,74.16,20.0,6.0,30.34,10.0,18.42
2021-01-09 02:00:00,26.1,19.0,74.16,10.0,3.0,30.33,10.0,21.94
2021-01-09 03:00:00,26.1,19.0,74.16,0.0,0.0,30.33,10.0,26.1
2021-01-09 04:00:00,26.1,19.9,77.06,330.0,4.0,30.32,10.0,20.53
2021-01-09 05:00:00,25.0,19.9,80.66,360.0,3.0,30.31,10.0,20.69
2021-01-09 06:00:00,24.1,19.9,83.75,340.0,5.0,30.32,10.0,17.01
2021-01-09 07:00:00,23.0,19.9,87.7,340.0,4.0,30.33,7.0,16.91
2021-01-09 08:00:00,21.9,19.0,88.4,360.0,4.0,30.34,5.0,15.63
2021-01-09 09:00:00,21.0,18.0,87.97,10.0,5.0,30.34,6.0,13.33
2021-01-09 10:00:00,19.9,17.1,88.68,10.0,6.0,30.35,3.0,10.96
2021-01-09 11:00:00,19.0,16.0,87.87,350.0,5.0,30.36,2.0,10.96
2021-01-09 12:00:00,18.0,16.0,91.72,360.0,3.0,30.36,1.75,12.68
2021-01-09 13:00:00,17.1,15.1,91.68,350.0,5.0,30.37,1.0,8.7
2021-01-09 14:00:00,17.1,14.0,87.38,300.0,5.0,30.38,1.75,8.7
2021-01-09 15:00:00,17.1,15.1,91.68,300.0,4.0,30.39,4.0,10.02
2021-01-09 16:00:00,17.1,14.0,87.38,260.0,6.0,30.39,8.0,7.59
2021-01-09 17:00:00,17.1,14.0,87.38,240.0,4.0,30.38,7.0,10.02
2021-01-09 18:00:00,17.1,12.9,83.25,230.0,5.0,30.37,6.0,8.7
2021-01-09 19:00:00,16.0,12.9,87.32,230.0,5.0,30.36,4.0,7.39
2021-01-09 20:00:00,16.0,12.9,87.32,0.0,0.0,30.36,4.0,16.0
2021-01-09 21:00:00,17.1,12.9,83.25,260.0,5.0,30.36,4.0,8.7
2021-01-09 22:00:00,17.1,12.9,83.25,290.0,5.0,30.36,5.0,8.7
2021-01-09 23:00:00,17.1,12.9,83.25,270.0,5.0,30.37,6.0,8.7
2021-01-10 00:00:00,17.1,14.0,87.38,250.0,4.0,30.36,5.0,10.02
2021-01-10 01:00:00,18.0,15.1,88.2,250.0,4.0,30.36,3.0,11.07
2021-01-10 02:00:00,18.0,15.1,88.2,260.0,5.0,30.35,3.0,9.77
2021-01-10 03:00:00,19.0,16.0,87.87,260.0,5.0,30.34,3.0,10.96
2021-01-10 04:00:00,19.0,16.0,87.87,270.0,7.0,30.33,4.0,8.93
2021-01-10 05:00:00,19.0,16.0,87.87,260.0,7.0,30.32,2.5,8.93
2021-01-10 06:00:00,19.9,17.1,88.68,270.0,6.0,30.32,5.0,10.96
2021-01-10 07:00:00,19.9,17.1,88.68,250.0,6.0,30.33,3.0,10.96
2021-01-10 08:00:00,19.9,17.1,88.68,300.0,5.0,30.33,5.0,12.03
2021-01-10 09:00:00,19.9,17.1,88.68,290.0,7.0,30.32,9.0,10.03
2021-01-10 10:00:00,21.0,17.1,84.62,320.0,6.0,30.31,9.0,12.28
2021-01-10 11:00:00,21.0,18.0,87.97,330.0,5.0,30.32,8.0,13.33
2021-01-10 12:00:00,21.0,18.0,87.97,320.0,6.0,30.32,7.0,12.28
2021-01-10 13:00:00,21.0,18.0,87.97,300.0,4.0,30.33,6.0,14.57
2021-01-10 14:00:00,21.0,18.0,87.97,300.0,4.0,30.34,5.0,14.57
2021-01-10 15:00:00,21.0,18.0,87.97,290.0,5.0,30.34,5.0,13.33
2021-01-10 16:00:00,21.0,18.0,87.97,300.0,5.0,30.34,6.0,13.33
2021-01-10 17:00:00,21.0,17.1,84.62,240.0,5.0,30.31,5.0,13.33
2021-01-10 18:00:00,21.9,18.0,84.68,240.0,4.0,30.3,5.0,15.63
2021-01-10 19:00:00,21.9,18.0,84.68,300.0,6.0,30.29,5.0,13.37
2021-01-10 20:00:00,23.0,19.0,84.39,250.0,6.0,30.29,5.0,14.69
2021-01-10 21:00:00,23.0,19.0,84.39,240.0,7.0,30.28,6.0,13.81
2021-01-10 22:00:00,23.0,19.0,84.39,270.0,4.0,30.29,7.0,16.91
2021-01-10 23:00:00,23.0,19.0,84.39,250.0,5.0,30.28,8.0,15.71
2021-01-11 00:00:00,23.0,19.9,87.7,240.0,7.0,30.28,8.0,13.81
2021-01-11 01:00:00,23.0,19.9,87.7,240.0,7.0,30.27,5.0,13.81
2021-01-11 02:00:00,23.0,19.9,87.7,260.0,8.0,30.26,6.0,13.03
2021-01-11 03:00:00,24.1,19.9,83.75,170.0,5.0,30.23,6.0,17.01
2021-01-11 04:00:00,24.1,19.9,83.75,190.0,3.0,30.22,6.0,19.66
2021-01-11 05:00:00,25.0,21.0,84.53,210.0,5.0,30.2,7.0,18.08
2021-01-11 06:00:00,26.1,21.9,83.89,210.0,4.0,30.18,7.0,20.53
2021-01-11 07:00:00,27.0,23.0,84.66,230.0,8.0,30.17,7.0,17.95
2021-01-11 08:00:00,28.0,23.0,81.25,250.0,10.0,30.16,10.0,17.95
2021-01-11 09:00:00,28.0,23.0,81.25,230.0,8.0,30.13,10.0,19.19
2021-01-11 10:00:00,28.9,23.0,78.3,230.0,8.0,30.11,10.0,20.29
2021-01-11 11:00:00,30.0,24.1,78.4,220.0,8.0,30.1,10.0,21.65
2021-01-11 12:00:00,28.9,24.1,82.0,220.0,8.0,30.08,10.0,20.29
2021-01-11 13:00:00,28.0,23.0,81.25,180.0,6.0,30.06,10.0,20.71
2021-01-11 14:00:00,28.0,23.0,81.25,190.0,6.0,30.05,10.0,20.71
2021-01-11 15:00:00,28.9,24.1,82.0,190.0,6.0,30.04,10.0,21.8
2021-01-11 16:00:00,32.0,24.1,72.3,210.0,5.0,30.02,10.0,26.4
2021-01-11 17:00:00,33.0,25.0,71.82,190.0,9.0,29.98,10.0,24.88
2021-01-11 18:00:00,34.0,25.0,69.28,200.0,9.0,29.94,10.0,26.0
2021-01-11 19:00:00,35.0,26.1,69.41,210.0,6.0,29.92,10.0,29.26
2021-01-11 20:00:00,36.0,26.1,66.97,240.0,8.0,29.93,10.0,29.04
2021-01-11 21:00:00,35.0,26.1,69.41,270.0,7.0,29.95,10.0,28.56
2021-01-11 22:00:00,33.0,26.1,75.18,250.0,4.0,29.95,10.0,28.7
2021-01-11 23:00:00,30.9,25.0,78.48,270.0,3.0,29.95,10.0,27.43
2021-01-12 00:00:00,28.9,23.0,78.3,0.0,0.0,29.95,10.0,28.9
2021-01-12 01:00:00,26.1,23.0,87.87,0.0,0.0,29.95,10.0,26.1
2021-01-12 02:00:00,24.1,19.9,83.75,0.0,0.0,29.95,3.0,24.1
2021-01-12 03:00:00,21.9,19.0,88.4,0.0,0.0,29.96,0.25,21.9
2021-01-12 04:00:00,21.0,17.1,84.62,0.0,0.0,29.96,0.5,21.0
2021-01-12 05:00:00,19.0,16.0,87.87,0.0,0.0,29.95,0.5,19.0
2021-01-12 06:00:00,21.9,19.0,88.4,0.0,0.0,29.96,1.0,21.9
2021-01-12 07:00:00,21.9,19.0,88.4,200.0,3.0,29.96,4.0,17.14
2021-01-12 08:00:00,19.0,16.0,87.87,0.0,0.0,29.96,4.0,19.0
2021-01-12 09:00:00,19.0,15.1,84.49,230.0,3.0,29.96,3.0,13.83
2021-01-12 10:00:00,19.9,18.0,92.19,0.0,0.0,29.97,1.75,19.9
2021-01-12 11:00:00,19.9,16.0,84.55,270.0,3.0,29.98,5.0,14.86
2021-01-12 12:00:00,19.0,16.0,87.87,260.0,3.0,29.99,4.0,13.83
2021-01-12 13:00:00,19.0,16.0,87.87,0.0,0.0,29.99,3.0,19.0
2021-01-12 14:00:00,21.0,19.0,91.83,0.0,0.0,29.99,4.0,21.0
2021-01-12 15:00:00,23.0,21.0,91.9,240.0,3.0,30.0,4.0,18.4
2021-01-12 16:00:00,24.1,21.0,87.76,220.0,6.0,29.99,4.0,16.02
2021-01-12 17:00:00,25.0,23.0,91.97,200.0,5.0,29.97,4.0,18.08
2021-01-12 18:00:00,25.0,23.0,91.97,240.0,4.0,29.95,4.0,19.25
2021-01-12 19:00:00,26.1,23.0,87.87,230.0,6.0,29.94,4.0,18.42
2021-01-12 20:00:00,27.0,24.1,88.65,290.0,4.0,29.93,5.0,21.58
2021-01-12 21:00:00,28.0,23.0,81.25,0.0,0.0,29.92,5.0,28.0
2021-01-12 22:00:00,26.1,23.0,87.87,50.0,3.0,29.9,4.0,21.94
2021-01-12 23:00:00,23.0,19.9,87.7,0.0,0.0,29.88,8.0,23.0
2021-01-13 00:00:00,21.9,19.9,91.86,0.0,0.0,29.87,3.0,21.9
2021-01-13 01:00:00,18.0,15.1,88.2,0.0,0.0,29.86,8.0,18.0
2021-01-13 02:00:00,19.0,16.0,87.87,0.0,0.0,29.84,1.25,19.0
2021-01-13 03:00:00,18.0,15.1,88.2,0.0,0.0,29.82,1.0,18.0
2021-01-13 04:00:00,17.1,14.0,87.38,0.0,0.0,29.82,4.0,17.1
2021-01-13 05:00:00,19.0,16.0,87.87,0.0,0.0,29.81,5.0,19.0
2021-01-13 06:00:00,19.9,16.0,84.55,0.0,0.0,29.8,4.0,19.9
2021-01-13 07:00:00,18.0,15.1,88.2,0.0,0.0,29.79,4.0,18.0
2021-01-13 08:00:00,19.9,17.1,88.68,0.0,0.0,29.77,3.0,19.9
2021-01-13 09:00:00,18.0,15.1,88.2,0.0,0.0,29.76,2.5,18.0
2021-01-13 10:00:00,17.1,14.0,87.38,210.0,3.0,29.77,6.0,11.66
2021-01-13 11:00:00,21.9,19.9,91.86,0.0,0.0,29.76,4.0,21.9
2021-01-13 12:00:00,21.9,19.0,88.4,0.0,0.0,29.76,6.0,21.9
2021-01-13 13:00:00,21.0,18.0,87.97,0.0,0.0,29.77,2.0,21.0
2021-01-13 14:00:00,23.0,19.9,87.7,0.0,0.0,29.75,3.0,23.0
2021-01-13 15:00:00,28.0,26.1,92.46,0.0,0.0,29.74,4.0,28.0
2021-01-13 16:00:00,32.0,28.9,88.17,0.0,0.0,29.73,8.0,32.0
2021-01-13 17:00:00,36.0,30.0,78.6,0.0,0.0,29.69,10.0,36.0
2021-01-13 18:00:00,36.0,28.9,75.15,90.0,4.0,29.65,10.0,32.09
2021-01-13 19:00:00,37.0,28.9,72.24,0.0,0.0,29.64,10.0,37.0
2021-01-13 20:00:00,38.0,30.0,72.93,0.0,0.0,29.63,10.0,37.9
2021-01-13 21:00:00,38.0,28.9,69.73,0.0,0.0,29.63,10.0,37.9
